id,text
226,cnd sexas maior o veras
227,por q non me mandas unha foto mellor? eu tamén son libre. e libre de pedir o q se me antona
228,es unha moza moi fermosa e quente
229,"comparte estas 3 fotos se tes valor, non só unha. sen a censura"
230,nude x nude?
231,que noxo das
232,"a merda igual de grandes, as feminazis"
233,mmmmm k rikas tetas amor
234,quérocha meter todo polo teu enorme ano
235,as supostas conas con patas non dades para máis
236,quero unha tua foto sen censura porquè ti es moi guapa
237,"ola guapa, pódoche comer a cona?"
238,"vaxina fermosa, podo ver claramente o seu corpo fermoso"
239,ola guapa ti es mio rica
240,mais mente crrrada a moza
241,nótase que é un chiste con zapatos
242,non deixas de queixarte de cantas pollas ves
243,se che coubese na boca non dirias o mesmo ;)
244,"nai a cabeciña, cuidatela muller"
245,responde xfa e mandame unha foto espida de todo o teu corpo
246,pero á fin e ao cabo o feminismo é puta merda de porcino
247,"en verdade o momento de gloria viría ao arrincarche os dentes un por un e depués violarte e deixar que vivas co trauma. como outras raposas de escoura como ti. e si, ás bruxas como ti hai que queimalas."
248,e esta señorita é psicóloga? pobres maltratadores... verdade? vergoña deberíache dar lanzar este vídeo. a mulleres morren por eses pobrecitos que ti chamas.
249,"vas falar ti de vocabulario?? jajajajaja cos vosos ""besiños"", ""adiosiño"".... aprendede dos q falan correctamente cuadrilla de catetos!!! demasiada cocaina vos metestes por aí... jajajajaja"
250,unha merda.... a verdade jajaja
251,"tes razón, un@ feminazi polo simple feito de que non es muller, nin te escoitaría e encima enfadaríase"
252,ten un debate e fálaslle de machirulos e demais diarrea dialéctica femillorona…
253,foder que fea
254,como me gustaría lamerte enteira e terminar nesas tetas
255,3 toneladas sobre o ceo
256,apenas cabe ela na casa
